ID,Type,SKU,Name
13462,simple,WF-281,WestPoint WF-281 188 mm Electric Hot Plate
13465,simple,IFC-01.000BK,Kenwood IFC-01.000BK Ceramic Hot Plate – Energy Efficient Hot Plate | Infrared Cooking Plate
13471,simple,AG-2062,Anex AG-2062 Single Burner Electric Hot Plate
13475,simple,AG-2061,Anex AG-2061 Single Burner Electric Hot Plate
13479,simple,WF-143,WestPoint WF-143 3.5 cm Induction Cooker
13797,simple,40L Electric Water Heater,Hanco 40L Semi Instant Electric Water Heater – Smart Geyser with Energy Saving & Temperature Control
13903,simple,NWD-190,Nasgas Water Dispenser NWD-190 Hot & Cold with Refrigerator Cabinet – Energy Efficient
13908,simple,WD-1051,"Dawlance Water Dispenser WD-1051 Cloud White – Hot, Cold & Normal with Refrigerator"
13915,simple,60-L Solar Compatible,Hanco 60 Liters Semi Instant Electric Water Heater – Solar Compatible
13920,simple,50-L Solar Compatible,Hanco 50L Semi Instant Electric Water Heater – Solar Compatible Smart Geyser
13928,simple,10-L Fast Electric Heater,Hanco Fast Electric Water Heater 10 Liter – Instant Hot Water Geyser
13936,simple,710G-7L,Hanco 710G 7 Litre Instant Gas Water Heater – Dual Ignition
13941,simple,15L-Fast Electric Heater,Hanco Fast Electric Water Heater 15 Liter – Semi Instant Electric Geyser
13947,simple,WD-1051S,Dawlance Water Dispenser WD-1051 Silver – Hot & Cold with Glass Door and Refrigerator
13963,simple,SGEG-14G,SG Electric Water Geyser – SGEG-14G (50 Liters) | Energy Efficient Electric Water Heater
13974,simple,WD-300,EcoStar Water Dispenser WD-300 – Hot & Cold Water Dispenser with 16 Liters Refrigerator Cabinet
13981,simple,SGEG-12G 40L,SG Electric Water Geyser — SGEG-12G (40 Liters)
13987,simple,SGEG-16G 60L,SG Electric Water Geyser – SGEG-16G (60 Liters)
13991,simple,14X16 30G,"SG 14×16 30G Hybrid Electric + Gas Storage Geyser , Energy Efficient"
13994,simple,SG 10X10 30G,SG 10X10 30G Electric + Gas Hybrid Storage Geyser – Energy Efficient Plus
13999,simple,SG 10L,"SG 10L Instant Electric Geyser — Hybrid Technology, Energy Efficient Plus"
14005,simple,10X10 30G Steel,SG 10X10 30G Steel Electric + Gas Hybrid Storage Geyser – Energy Efficient
14014,simple,12X16 30G,SG 12X16 30G Electric + Gas Hybrid Storage Geyser – Energy Efficient
14052,simple,ETO 12L,ELite ETO-12L Oven Toaster — 12 Liter Compact Electric Toaster Oven (800W)
14058,simple,ETO 221R,"ELite ETO-221R Oven Toaster – 22 Liters, 1500W (Black)"
14065,simple,ETO-32R,"ELite ETO-32R Oven Toaster – Compact, Powerful and Versatile"
14069,simple,ECJB-200,ELite Commercial Blender Pro Mix ECJB-200 – 1400W Powerful Professional Blender (3.0L Capacity)
14074,simple,EAF-008,ELite EAF-008 Ultra Air Fryer – 4.5L Digital Touch Panel with Rapid Air Circulation
14077,simple,ELAF-05,ELite EAF-05 Air Fryer – 4.5L Low-Fat Digital Air Fryer with High-Speed Air Circulation
14082,simple,EAF-001,ELite EAF-001 Air Fryer – 7L Touch Screen Digital Air Fryer with Air Crisp Technology
14096,simple,SS29,ELite SS-29 Garment Steamer – 2200W Electric Steamer with 3L Water Tank
14104,simple,SS39,ELite SS-39 Steam Iron – 2200W High-Power Iron with 3L Water Tank and Adjustable Rod
14109,simple,EGS-500,ELite EGS-500 Vertical Garment Steamer – 1.5L Large Tank with 1800W Power
14117,simple,EWK-16B,ELite EWK-16B Electric Kettle – Fast Boiling 16L Kettle with Cool Touch Handle
14139,simple,EWK-20B,ELite EWK-20B Electric Tea Kettle – 20L Commercial Stainless Steel Kettle with Rapid Boil & Keep-Warm Function
14144,simple,EWK-30D,ELite EWK-30D Electric Tea Kettle – 30L Commercial Stainless Steel Kettle with Keep-Warm & Overheat Protection
14156,simple,ETF-30M,ELite Metal Table Fan Copper ETF-30M
14169,simple,EVF-08,ELite Velocity Fan EVF-08 — Turbo Force Air Circulator
14172,simple,EVF-20,ELite Velocity Fan – EVF-20
14175,simple,EBF-42,ELite EBF-42 Bladeless Fan — 42” Remote Control Cooling Fan
14178,simple,ETF-001,"Elite Tower Fan ETF-001 — Powerful, Slim & Energy Efficient"
14181,simple,ETF-002,ELite ETF-002 Tower Fan 38″ Black — Remote Control
14189,simple,ETF-003,ELite ETF-003 Evaporative Cooler Tower Fan 42” – 60W
14193,simple,EWD-10,ELite EWD-10 Water Dispenser with Refrigerator – Hot & Cold Water Dispenser 520W
14197,simple,EWD - 178T,ELite EWD-178T Tabletop Water Dispenser – 4.1L Silver Hot & Cold Water Dispenser
14200,simple,EIK-16L,ELite EIK-16L Jasmine Insect Killer – 8 LED UV-A Flying Insect Trap 6W
14204,simple,EIK-16,ELite EIK-16 Insect Killer – 16W UV-A  Flying Insect Trap 3000V
14207,simple,EIK-30,ELite EIK-30 Insect Killer – 30W UV-A Flying Insect Trap 1600–1800V
14210,simple,EQH-80Y4,ELite EQH-80Y4 Quartz Heater – 800W with Temperature Control
14213,simple,EFH-804,ELite EFH-804 Fan Heater – 2000W Adjustable Thermostat Compact
14216,simple,EFH- 901,ELite EFH-901 Fan Heater – White Portable 2000W
14219,simple,EVC-220,ELite EVC-220 Vacuum Cleaner – High-Efficiency Low-Noise Electric Cleaner
14223,simple,CM-800,ELite Anti-Allergy UVC Mite Vacuum Cleaner
14228,simple,NU-06,ELite Deerma Mini Juice Blender – 400mL Portable Wireless Personal Blender
14232,simple,ZQ-600,Elite Deerma DEM-ZQ600 Multi-Function Steam Cleaner
14237,simple,JS-100,ELite Deerma JS-100 Wireless Portable Food Processor Mini Blender
14240,simple,F-325,ELite Deerma DEM-F325 Ultrasonic Air Humidifier – 5L Water Tank
14245,simple,F-500,ELite Deerma F500 Ultrasonic Humidifier & Manual Air Purifier – 5L Tank
